k,group,lower,upper,left_closed,right_closed,n,bmi_min,bmi_max,best_week,avg_risk
4,1,20.703125,29.5907377837715,True,False,58,20.703125,29.565669647543,13.05000000000003,1.720040128733771
4,2,29.5907377837715,32.423729663906755,True,False,110,29.61580592,32.421875,14.300000000000047,1.9061854011262118
4,3,32.423729663906755,36.999319045,True,False,84,32.4255843278135,36.88509165,15.850000000000069,2.1892916351110445
4,4,36.999319045,46.875,True,True,15,37.11354644,46.875,19.250000000000117,2.807038500888886
