model,target,term,coefficient_standardized,odds_ratio,imputer_median,scaler_mean,scaler_scale
z_quality,label,Intercept,-2.58631081668459,0.07529731390803507,,,
z_quality,label,z13,-0.043336706687797925,0.957588909189458,0.2190776465,0.3402041473996691,1.2446248488369427
z_quality,label,z18,0.28849739314507344,1.3344208708767438,0.637321713,0.6631023112918172,1.1486127638930947
z_quality,label,z21,0.15341759202729718,1.1658117109837913,-0.118210744,-0.12079130697307462,1.0768404900422575
z_quality,label,zx,-0.3017445026305158,0.7395269879539159,0.4910916625,0.4023154955455776,1.2100144390266436
z_quality,label,x_conc,-1.0355783090305433,0.3550210096907188,-0.0077979065,-0.007006771588447653,0.017939953104847913
z_quality,label,gc,-0.1524087220167187,0.8586372650574868,0.40103584999999997,0.4009488587093863,0.0033997736471548033
z_quality,label,gc13,1.5454475636223792,4.69007026218636,0.378940612,0.3791280906674187,0.004462595993674956
z_quality,label,gc18,0.6021556744025933,1.8260509319219442,0.391917348,0.3919921974524669,0.004250803259860842
z_quality,label,gc21,-1.8088103481829698,0.1638489440973665,0.401227534,0.4012776686704272,0.005130385063238627
z_quality,label,reads_raw,-0.004763488872227273,0.9952478385477402,4602918.0,4757497.610258724,980334.5645361142
z_quality,label,uniq_reads,-0.08418890928380954,0.9192575833997324,3471163.0,3591843.0743080624,749617.3634434481
z_quality,label,map_ratio,0.15522061869604248,1.1679155967004973,0.8017553333333334,0.7967288233622143,0.01624855962726429
z_quality,label,dup_ratio,-0.18440134299970487,0.8316019792091697,0.030175479999999998,0.030252384841456068,0.0029178428440183447
z_quality,label,filt_ratio,0.3621323969593387,1.4363891029213616,0.0228007765,0.023646327527677494,0.009751450109765561
z_quality,label_T13,Intercept,-4.233755431982949,0.01449784252532627,,,
z_quality,label_T13,z13,0.0019681556662013875,1.0019700937558433,0.2190776465,0.3402041473996691,1.2446248488369427
z_quality,label_T13,z18,-0.012847887573358937,0.9872342942036137,0.637321713,0.6631023112918172,1.1486127638930947
z_quality,label_T13,z21,0.7001721272929057,2.0140993591058427,-0.118210744,-0.12079130697307462,1.0768404900422575
z_quality,label_T13,zx,-0.4646723659551667,0.6283409373518266,0.4910916625,0.4023154955455776,1.2100144390266436
z_quality,label_T13,x_conc,-0.9386079913364537,0.39117197132268683,-0.0077979065,-0.007006771588447653,0.017939953104847913
z_quality,label_T13,gc,0.19195482123600613,1.2116157764251405,0.40103584999999997,0.4009488587093863,0.0033997736471548033
z_quality,label_T13,gc13,1.0484564972590606,2.8532437280141094,0.378940612,0.3791280906674187,0.004462595993674956
z_quality,label_T13,gc18,0.1233314919086923,1.1312593621242493,0.391917348,0.3919921974524669,0.004250803259860842
z_quality,label_T13,gc21,-0.6913580892652865,0.5008953463366754,0.401227534,0.4012776686704272,0.005130385063238627
z_quality,label_T13,reads_raw,-0.19477264779358638,0.8230217525984136,4602918.0,4757497.610258724,980334.5645361142
z_quality,label_T13,uniq_reads,-0.11600627502765279,0.8904696355583539,3471163.0,3591843.0743080624,749617.3634434481
z_quality,label_T13,map_ratio,0.21802571905445564,1.2436190519138755,0.8017553333333334,0.7967288233622143,0.01624855962726429
z_quality,label_T13,dup_ratio,0.15415891069132423,1.1666762693809296,0.030175479999999998,0.030252384841456068,0.0029178428440183447
z_quality,label_T13,filt_ratio,0.7070385324390992,2.027976570063556,0.0228007765,0.023646327527677494,0.009751450109765561
z_quality,label_T18,Intercept,-3.333006089910496,0.0356856693372829,,,
z_quality,label_T18,z13,0.21268604423637444,1.2369962281775417,0.2190776465,0.3402041473996691,1.2446248488369427
z_quality,label_T18,z18,0.47911846856160184,1.6146504095399308,0.637321713,0.6631023112918172,1.1486127638930947
z_quality,label_T18,z21,-0.06208481080507666,0.9398031779469158,-0.118210744,-0.12079130697307462,1.0768404900422575
z_quality,label_T18,zx,-0.5754149363522145,0.5624714305356813,0.4910916625,0.4023154955455776,1.2100144390266436
z_quality,label_T18,x_conc,-1.1553303781300108,0.3149534659758512,-0.0077979065,-0.007006771588447653,0.017939953104847913
z_quality,label_T18,gc,-0.3707301316649489,0.6902301876982471,0.40103584999999997,0.4009488587093863,0.0033997736471548033
z_quality,label_T18,gc13,1.8917850334665613,6.6311950277383325,0.378940612,0.3791280906674187,0.004462595993674956
z_quality,label_T18,gc18,0.4199195928015856,1.5218391838737027,0.391917348,0.3919921974524669,0.004250803259860842
z_quality,label_T18,gc21,-1.6793565426719443,0.1864939383312202,0.401227534,0.4012776686704272,0.005130385063238627
z_quality,label_T18,reads_raw,0.011256908091006157,1.0113205054935688,4602918.0,4757497.610258724,980334.5645361142
z_quality,label_T18,uniq_reads,-0.09289770638298223,0.9112867143426087,3471163.0,3591843.0743080624,749617.3634434481
z_quality,label_T18,map_ratio,0.2057278291107207,1.2284188186501184,0.8017553333333334,0.7967288233622143,0.01624855962726429
z_quality,label_T18,dup_ratio,-0.07978947146567873,0.9233107091767874,0.030175479999999998,0.030252384841456068,0.0029178428440183447
z_quality,label_T18,filt_ratio,-0.25834904083402227,0.7723256118797236,0.0228007765,0.023646327527677494,0.009751450109765561
z_quality,label_T21,Intercept,-4.135948897344088,0.015987487445550175,,,
z_quality,label_T21,z13,-0.302115617955411,0.7392525890754764,0.2190776465,0.3402041473996691,1.2446248488369427
z_quality,label_T21,z18,-0.12273285959226049,0.8844999166712912,0.637321713,0.6631023112918172,1.1486127638930947
z_quality,label_T21,z21,0.22709238483365554,1.2549458005440197,-0.118210744,-0.12079130697307462,1.0768404900422575
z_quality,label_T21,zx,0.17512169812667341,1.1913911978671212,0.4910916625,0.4023154955455776,1.2100144390266436
z_quality,label_T21,x_conc,-0.27208901336999464,0.761786448892754,-0.0077979065,-0.007006771588447653,0.017939953104847913
z_quality,label_T21,gc,0.21623785774783116,1.2413976199286478,0.40103584999999997,0.4009488587093863,0.0033997736471548033
z_quality,label_T21,gc13,-0.25722339801954186,0.7731954641347984,0.378940612,0.3791280906674187,0.004462595993674956
z_quality,label_T21,gc18,0.16043437387531465,1.1740207241820033,0.391917348,0.3919921974524669,0.004250803259860842
z_quality,label_T21,gc21,-0.20938433421208733,0.811083448613878,0.401227534,0.4012776686704272,0.005130385063238627
z_quality,label_T21,reads_raw,0.050309912772662925,1.0515969492066914,4602918.0,4757497.610258724,980334.5645361142
z_quality,label_T21,uniq_reads,-0.06366585538423568,0.9383184812220756,3471163.0,3591843.0743080624,749617.3634434481
z_quality,label_T21,map_ratio,0.09577257238961584,1.1005087494557437,0.8017553333333334,0.7967288233622143,0.01624855962726429
z_quality,label_T21,dup_ratio,-0.5724127315225851,0.564162622362841,0.030175479999999998,0.030252384841456068,0.0029178428440183447
z_quality,label_T21,filt_ratio,0.36987548341865384,1.4475543589210573,0.0228007765,0.023646327527677494,0.009751450109765561
