n_mothers_with_changing_label,feature,event_auc,event_p,mother_auc,mother_p,within_mother_auc,within_mother_p,consistent_direction
43,x_conc,0.23832588176850472,5.021843729232293e-12,0.36253309796999117,0.008462934478272344,0.236985236985237,3.614777863139946e-09,True
43,week,0.5678092399403875,0.0735539506001266,0.595873786407767,0.06633074042136787,0.5378787878787878,0.3959724804916299,True
43,age,0.44476527570789864,0.14363235930751425,0.45024271844660196,0.33996087924451246,0.4724812224812225,0.5365080753301306,True
43,gc13,0.5531855439642325,0.1605829675379009,0.5024271844660194,0.9645756881332327,0.5665630665630665,0.1356195066693347,True
43,z18,0.5461997019374069,0.2229341948622361,0.5412621359223301,0.4302005091401956,0.4952084952084952,0.9155234980529973,False
43,gc18,0.5433122205663189,0.25321938586330217,0.49029126213592233,0.8540180253800331,0.556073556073556,0.20878754433591895,True
43,z21,0.5423186785891704,0.2642741211419354,0.5002206531332745,0.9983125746980631,0.5599585599585599,0.17891908527940048,True
43,zx,0.45799180327868855,0.2677959653204335,0.4441747572815534,0.2855150269421943,0.49456099456099456,0.9040039970683231,True
43,filt_ratio,0.4711872826626925,0.4472937280550823,0.4997793468667255,0.9983125746980631,0.47798497798497797,0.6223015743138978,True
43,reads_raw,0.47842151018380524,0.5693363686267774,0.5397175639894086,0.44770880644148736,0.4533799533799534,0.29613482838432537,True
43,bmi,0.47865720863667477,0.5736092452487738,0.4783759929390997,0.6800457246655287,0.504014504014504,0.9293646581539111,False
43,dup_ratio,0.4792908594138102,0.5850056441200266,0.46601941747572817,0.5161659424838414,0.48148148148148145,0.6787824053317879,True
43,uniq_reads,0.47960134128166915,0.5906499887766218,0.5364077669902912,0.4865578095591201,0.45843045843045843,0.3516371392555786,True
43,z13,0.4798186785891704,0.5946158796755756,0.5017652250661959,0.9746928463464559,0.44457394457394456,0.2140979942582526,True
43,gc,0.4871770988574267,0.7353810677324015,0.5229479258605472,0.661546320268645,0.43563843563843563,0.14904880015337096,True
43,map_ratio,0.49080973671137607,0.8086919016799505,0.45454545454545453,0.38473016981377217,0.5077700077700078,0.8627178936975803,False
43,gc21,0.5034153005464481,0.9285118389718297,0.440423654015887,0.2543204949830883,0.5216265216265217,0.6284762709147815,True
