group,lower,upper,left_closed,right_closed,interval,n,bmi_min,bmi_max,best_week,recommended_week,recommended_time,avg_risk,rounded_avg_risk,total_avg_risk,regret_vs_exact,rounded_total_avg_risk,time_rounding_regret
1,20.703125,32.0,True,False,"[20.70, 32)",152,20.703125,31.99217133,14.200000000000045,14.142857142857142,14周+1天,1.8190469066430823,1.8242097728903772,1.9970123701924083,0.00014751498321707857,1.99998481105926,0.0029724408668516666
2,32.0,36.0,True,False,"[32.00, 36)",95,32.0,35.94414543,15.350000000000062,15.285714285714286,15周+2天,2.0826323849375057,2.082704869093765,1.9970123701924083,0.00014751498321707857,1.99998481105926,0.0029724408668516666
3,36.0,46.875,True,True,"[36, 46.88]",20,36.25047023,46.875,19.600000000000122,19.571428571428573,19周+4天,2.942854823128073,2.9429548254788678,1.9970123701924083,0.00014751498321707857,1.99998481105926,0.0029724408668516666
