k,avg_risk,reduction_vs_k1,relative_reduction,marginal_gain,captured_frac,min_week_gap,min_group_n,C1_收益捕获,C2_组间可辨,C3_样本量,selected
1,2.031455398337219,0.0,0.0,,0.0,inf,267,False,True,True,False
2,2.011621445582049,0.01983395275517008,0.009763420241175125,0.01983395275517008,0.6060454285678438,4.000000000000057,30,False,True,True,False
3,2.0030181486832768,0.02843724965394223,0.013998461239768594,0.00860329689877215,0.8689274077917607,1.9500000000000277,20,False,True,True,False
4,2.0000712233874296,0.0313841749497894,0.015449108543302444,0.0029469252958471692,0.9589735335401228,1.200000000000017,20,True,True,True,True
5,1.9988567619879396,0.0325986363492794,0.016046936780380185,0.0012144613994899967,0.9960825651294596,0.8500000000000121,20,True,False,True,False
6,1.9987285567173754,0.03272684161984363,0.016110046839635815,0.00012820527056423003,1.0,0.4500000000000064,16,True,False,True,False
