model,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd,sensitivity_mean,specificity_mean,ppv_mean,npv_mean,f1_mean,brier_mean,repeats,gap_vs_best,noise_scale,distinguishable_from_best
logit_z_quality,0.4841560030088399,0.036517381666304784,0.7782352210630898,0.019575193574948264,0.8484848484848484,0.4172131147540984,0.16455442967225573,0.9532051223005009,0.27563381232935374,0.08233726077805886,5,0.0,0.05164337641484284,False
logit_all,0.47754198201041864,0.029442469260252197,0.7965660705414803,0.017066132311480447,0.8272727272727274,0.5737704918032787,0.20814167969725114,0.9610766925870529,0.3324416181401998,0.08249405578027708,5,0.006614020998421233,0.04690818862313347,False
forest_all_depth3,0.31885915292526834,0.03217928590305229,0.7457401887729758,0.020294858130849806,0.6818181818181819,0.7020491803278689,0.23659952442518897,0.9422538051326006,0.3511873378568123,0.1816853073954312,5,0.16529685008357153,0.04867263712798961,True
rule_absZ,0.135534672048447,0.0,0.5131023348236463,0.0,0.8878787878787879,0.130327868852459,0.12132307571857712,0.8958745284891801,0.21347572320047825,,5,0.3486213309603929,0.036517381666304784,True
rule_signedZ,0.13454546783955434,0.0,0.5393380526577248,0.0,0.8878787878787879,0.13811475409836066,0.12228952995654127,0.9010630612392738,0.21496867474529852,,5,0.34961053516928553,0.036517381666304784,True
logit_z,0.12591635516167857,0.011018421320035155,0.5207960755091903,0.028445107727556374,0.8454545454545455,0.19959016393442625,0.12501754566931525,0.9050125617171811,0.21782093181682444,0.10595415118539897,5,0.35823964784716134,0.03814347614138462,True
