model,target,term,coefficient_standardized,odds_ratio,imputer_median,scaler_mean,scaler_scale
z,label,Intercept,-2.0366598112830894,0.1304637574757649,,,
z,label,z13,-0.13658667298949637,0.8723307094725434,0.2190776465,0.3402041473996691,1.2446248488369427
z,label,z18,0.27563769094616314,1.3173704822996697,0.637321713,0.6631023112918172,1.1486127638930947
z,label,z21,0.1608155570973324,1.1744683264881874,-0.118210744,-0.12079130697307462,1.0768404900422575
z,label,zx,-0.20147310652432723,0.8175255633683103,0.4910916625,0.4023154955455776,1.2100144390266436
z_quality,label,Intercept,-2.586310816684591,0.07529731390803496,,,
z_quality,label,z13,-0.043336706687797696,0.9575889091894583,0.2190776465,0.3402041473996691,1.2446248488369427
z_quality,label,z18,0.28849739314507333,1.3344208708767435,0.637321713,0.6631023112918172,1.1486127638930947
z_quality,label,z21,0.15341759202729707,1.1658117109837913,-0.118210744,-0.12079130697307462,1.0768404900422575
z_quality,label,zx,-0.3017445026305162,0.7395269879539156,0.4910916625,0.4023154955455776,1.2100144390266436
z_quality,label,x_conc,-1.0355783090305437,0.35502100969071865,-0.0077979065,-0.007006771588447654,0.017939953104847913
z_quality,label,gc,-0.15240872201671835,0.8586372650574872,0.40103584999999997,0.4009488587093863,0.0033997736471548037
z_quality,label,gc13,1.5454475636223766,4.690070262186348,0.378940612,0.3791280906674187,0.004462595993674956
z_quality,label,gc18,0.6021556744025962,1.8260509319219496,0.391917348,0.3919921974524669,0.004250803259860841
z_quality,label,gc21,-1.8088103481829696,0.16384894409736656,0.401227534,0.4012776686704272,0.005130385063238627
z_quality,label,reads_raw,-0.004763488872227099,0.9952478385477405,4602918.0,4757497.610258724,980334.5645361142
z_quality,label,uniq_reads,-0.08418890928380955,0.9192575833997324,3471163.0,3591843.0743080624,749617.3634434481
z_quality,label,map_ratio,0.1552206186960426,1.1679155967004975,0.8017553333333334,0.7967288233622143,0.01624855962726429
z_quality,label,dup_ratio,-0.1844013429997051,0.8316019792091695,0.030175479999999998,0.030252384841456082,0.0029178428440183456
z_quality,label,filt_ratio,0.3621323969593394,1.4363891029213627,0.0228007765,0.023646327527677497,0.009751450109765561
all,label,Intercept,-2.683441236939586,0.0683276175964968,,,
all,label,z13,-0.05927617996954855,0.9424464483796476,0.2190776465,0.3402041473996691,1.2446248488369427
all,label,z18,0.24290226665559156,1.2749440134868804,0.637321713,0.6631023112918172,1.1486127638930947
all,label,z21,0.17080044456648397,1.186254001968794,-0.118210744,-0.12079130697307462,1.0768404900422575
all,label,zx,-0.2996446464008461,0.7410815198821444,0.4910916625,0.4023154955455776,1.2100144390266436
all,label,x_conc,-1.0324896608698828,0.3561192398294752,-0.0077979065,-0.007006771588447654,0.017939953104847913
all,label,gc,-0.15405994780187002,0.8572206309785683,0.40103584999999997,0.4009488587093863,0.0033997736471548037
all,label,gc13,1.6036492654068015,4.971140374542756,0.378940612,0.3791280906674187,0.004462595993674956
all,label,gc18,0.5677519580838551,1.764296377775797,0.391917348,0.3919921974524669,0.004250803259860841
all,label,gc21,-1.8120096384385296,0.16332558140811265,0.401227534,0.4012776686704272,0.005130385063238627
all,label,reads_raw,-0.004300796427542393,0.9957084387531255,4602918.0,4757497.610258724,980334.5645361142
all,label,uniq_reads,-0.0698060661772957,0.9325746601386605,3471163.0,3591843.0743080624,749617.3634434481
all,label,map_ratio,0.13838594257039047,1.148418688416233,0.8017553333333334,0.7967288233622143,0.01624855962726429
all,label,dup_ratio,-0.13809779353176033,0.8710135080934938,0.030175479999999998,0.030252384841456082,0.0029178428440183456
all,label,filt_ratio,0.37118345096257643,1.449448951803487,0.0228007765,0.023646327527677497,0.009751450109765561
all,label,bmi,-0.2932984400884494,0.7457995310030472,31.3277234,32.07003014734658,2.9168770708611023
all,label,week,0.27123399558868383,1.3115819388681447,17.357142857142854,18.254254770500257,4.3616917282981955
